,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
72,72,2026-03-22,@,DEN,L,112,128,,42,97,.433,16,50,.320,26,47,.553,.515,12,16,.750,14,31,45,31,5,0,11,16,49,90,.544,18,46,.391,31,44,.705,.644,12,13,.923,5,37,42,37,6,3,11,19
73,73,2026-03-23,,BRK,W,134,99,,44,80,.550,18,38,.474,26,42,.619,.663,28,40,.700,8,37,45,28,10,8,24,24,33,80,.413,8,29,.276,25,51,.490,.463,25,29,.862,6,26,32,22,11,3,22,33
74,74,2026-03-25,,MIL,W,130,99,,42,80,.525,19,41,.463,23,39,.590,.644,27,33,.818,15,39,54,30,11,11,21,13,36,89,.404,14,45,.311,22,44,.500,.483,13,20,.650,13,21,34,22,12,3,17,25
75,75,2026-03-27,,DAL,L,93,100,,31,79,.392,8,30,.267,23,49,.469,.443,23,33,.697,14,34,48,16,8,7,25,23,36,81,.444,7,24,.292,29,57,.509,.488,21,30,.700,7,30,37,24,12,5,17,22
76,76,2026-03-29,,WAS,W,123,88,,44,86,.512,12,36,.333,32,50,.640,.581,23,32,.719,11,38,49,24,8,10,14,24,32,87,.368,5,22,.227,27,65,.415,.397,19,22,.864,9,30,39,16,7,2,16,28
77,77,2026-03-31,@,LAC,W,114,104,,41,91,.451,15,45,.333,26,46,.565,.533,17,18,.944,18,30,48,22,8,4,17,17,38,76,.500,10,30,.333,28,46,.609,.566,18,23,.783,8,22,30,19,8,9,14,15
78,78,2026-04-02,,NOP,W,118,106,,42,92,.457,20,51,.392,22,41,.537,.565,14,18,.778,14,31,45,27,11,7,16,17,38,84,.452,9,23,.391,29,61,.475,.506,21,26,.808,12,32,44,25,9,5,19,21
79,79,2026-04-06,@,DEN,L,132,137,OT,42,89,.472,25,52,.481,17,37,.459,.612,23,28,.821,11,28,39,29,8,5,18,24,52,101,.515,12,38,.316,40,63,.635,.574,21,24,.875,17,28,45,37,10,5,12,26
80,80,2026-04-08,@,SAS,L,101,112,,42,93,.452,12,37,.324,30,56,.536,.516,5,10,.500,11,32,43,26,9,5,16,15,43,88,.489,11,29,.379,32,59,.542,.551,15,19,.789,11,34,45,28,13,6,17,14
81,81,2026-04-10,,LAC,W,116,97,,37,83,.446,12,39,.308,25,44,.568,.518,30,35,.857,14,32,46,23,12,7,15,15,36,83,.434,13,40,.325,23,43,.535,.512,12,12,1.000,10,25,35,17,6,3,17,27
82,82,2026-04-12,,SAC,W,122,110,,47,101,.465,16,46,.348,31,55,.564,.545,12,15,.800,18,28,46,28,9,3,12,21,40,83,.482,7,21,.333,33,62,.532,.524,23,31,.742,15,32,47,24,7,8,17,18
,,,,,42-40,9469,9493,,3350,7389,.453,1186,3462,.343,2164,3927,.551,.534,1583,2069,.765,1157,2614,3771,2062,677,448,1417,1634,3446,7323,.471,1027,2869,.358,2419,4454,.543,.541,1574,1992,.790,982,2540,3522,2162,888,469,1280,1804
